n_i,x_i,n_j,x_j,y_i,dZ
13.0,0.6252578028084668,14.0,0.6487633439444809,-0.023505541136014108,0.00044441934460470733
0.0,0.6252578028084668,14.0,0.6487633439444809,-0.023505541136014108,-0.013573023451244337
9.0,0.6252578028084668,14.0,0.6556231994885467,-0.03036539668007998,-0.016781421494914905
11.0,0.6522749382968136,12.0,0.6719497585526308,-0.019674820255817238,-0.010814747482954412
13.0,0.6736219585331026,14.0,0.6797686080153624,-0.006146649482259847,-0.01203827493106635
14.0,0.6777496793730585,14.0,0.6811642485258356,-0.003414569152777047,-0.00856462545464387
14.0,0.6777496793730585,14.0,0.6811642485258356,-0.003414569152777047,-0.008217779174341078
13.0,0.679391539576095,14.0,0.6811642485258356,-0.0017727089497405757,-0.007450618287032196
6.0,0.681426016200455,6.0,0.6811642485258356,0.0002617676746193842,-0.009412128058154168
16.0,0.5704180436219431,27.0,0.7164441506939855,-0.14602610707204233,-0.1508984712578597
25.0,0.670087574355585,16.0,0.7164441506939855,-0.04635657633840051,-0.06080698512977911
20.0,0.6733955717118308,30.0,0.7164441506939855,-0.04304857898215464,-0.05070179098250738
34.0,0.6851834104428288,36.0,0.7186516853932584,-0.03346827495042959,-0.05638763894269461
27.0,0.7707501652346331,40.0,0.7341969596827495,0.03655320555188368,0.020076288106803397
60.0,0.800079312623926,117.0,0.7490779907468605,0.05100132187706541,0.03835265369371521
50.0,0.813995373430271,84.0,0.8092267019167217,0.004768671513549205,0.020347468486455855
32.0,0.8399322538003966,65.0,0.8236120290812955,0.016320224719101106,0.043645141103197616
33.0,0.7938338607836065,7.0,0.796546514940213,-0.0027126541566064866,-0.005357939006676138
26.0,0.853065196604989,21.0,0.7980112317797158,0.05505396482527325,0.05163657533996524
7.0,0.853065196604989,23.0,0.8101971031980328,0.04286809340695619,0.04292349341449042
19.0,0.853065196604989,31.0,0.8127488827419235,0.040316313863065556,0.03991548598092742
4.0,0.9685659357126752,3.0,0.8130538296250304,0.15551210608764487,0.15538604491594366
